code,level,name,reason,solution
1,1,"Bus overvoltage failure","Bus voltage exceeds the maximum permissible threshold","1. Check whether the connecting cable between the battery group and the electric control system is well connected.2. Check whether the battery voltage level is normal.Check whether the maximum threshold is reasonable.4.Replace control unit."
2,2,"Serious undervoltage failure of battery","Battery voltage is below the permissible threshold","1.check whether the battery and the electric control connection is good2.Check the battery level 3. Check whether the undervoltage threshold is reasonable 4. Replace the control unit"
3,20,"When starting, the ""accelerator pedal"" signal is activated","In the process of power-on self-test of the system, the driver presses down the accelerator pedal in advance.","1. Release the accelerator pedal2. Set the parameters of the inspector 3. Check the related wiring harness of the accelerator 4.Replace the controller"
4,20,"Appointment of maintenance time to arrive","Appointment of maintenance time to arrive","1. Reassign the maintenance timer in the controller through FJ monitoring software or instrument"
5,1,"Flash memory failure alarm","The controller cannot write or read the flash memory","1. Restore factory Settings 2. Replace control unit"
6,1,"Bus low voltage alarm","Bus voltage is below the minimum permissible threshold","1. Check the main circuit breaker and connection harness 2. Check the main circuit breaker 3.Check whether the threshold setting is reasonable 5. Replace the controller"
7,20,"Busbar overvoltage, brake output current reduction","Bus voltage above the set threshold begins to limit the output brake current","1. Check whether the battery connection is good; 2. Check whether the overvoltage threshold is reasonable"
8,1,"Power unit output overcurrent","The actual current of the driving power module exceeds the limit value.","1. Check that the connection between the control unit UVW and the motor is good.Replace the motor"
11,1,"The main contactor is welded","The main contactor contact cannot be disconnected","1. Replace the main contactor. 2.Check the connection harness 3. Replacing a Controller"
12,3,"Battery undervoltage alarm","The battery SOC is below the discharge protection value","1. Charge the battery pack. 2.Check whether the parameter setting of the battery is reasonable"
13,5,"Traction motor high temperature alarm","The measured temperature of the traction motor exceeds the temperature set by the user.","1. Check the temperature sensor and wiring harness of the motor 2. Replace control unit"
15,1,"Traction motor current loss","The phase current of traction motor is not zero when the system is started.","1. Check whether the insulation between the battery and the motor is good 2. Replace the controller"
17,1,"Coil overcurrent alarm of main circuit breaker","The coil current of the main circuit breaker is too large.","1. Check the wire harness of main contactor coil 2. Measure whether the resistance value of main contactor coil is normal 3.Replace the control unit"
20,5,"Traction motor power unit overheating","Traction motor power unit temperature exceeds 80℃.","1. Check whether the heat dissipation of the controller is good  2. Replace control unit"
27,1,"Power unit output overcurrent","The actual current of the driving power unit exceeds the set threshold","1. Make sure that the set overcurrent threshold is reasonable  2. Check whether the motor and electric control are normal; 3. Replace the control unit"
37,1,"Control unit 5V voltage output fault","5V output voltage of control unit is too low.","1. Check wiring harness 2.Check whether the output load of 5V is too large. 3. Replace the control unit"
38,1,"Control unit 12V voltage output fault","12V output voltage of control unit is too low.","1. Check wiring harness 2. Check whether the 12V output load is too large. 3. Replace the control unit"
39,2,"Motor stall","Motor speed cannot be detected within the agreed time","1. Check whether the encoder is connected correctly. 2. Check the load state of the vehicle 3. Check parameters related to controller output torque"
40,15,"Drive1 output overstream","Drive1 output overcurrent detection is beyond the allowable range","1. Check whether there is a short circuit fault in the connection load of the flow port. 2. Replace the control unit"
41,15,"Drive2 output overstream","Drive2 output overcurrent detection is beyond the allowable range","1. Check whether there is a short circuit fault in the connection load of the flow port. 2. Replace the control unit"
42,15,"Drive3 output overstream","Drive3 output overcurrent detection is beyond the allowable range","1. Check whether there is a short circuit fault in the connection load of the flow port. 2. Replace the control unit"
43,15,"Drive4 output overstream","Drive4 output overcurrent detection is beyond the allowable range","1. Check whether there is a short circuit fault in the connection load of the flow port. 2. Replace the control unit"
44,15,"Drive5 output overstream","Drive5 output overcurrent detection is beyond the allowable range","1. Check whether there is a short circuit fault in the connection load of the flow port. 2. Replace the control unit"
